Subject, 15_518_MARY
Bluetooth Addr, 84EB1877AF2A
Timestamp, 14/08/2015 1:00:28 PM
Sequence GUID, 7e4254d7-5f13-4358-ab35-627c5c47baf7
Record Directory, C:\Documents and Settings\All Users\Desktop\Active Chronics V2.2\Nimble Logs\15_518_MARY-84EB1877AF2A-7e4254d7-5f13-4358-ab35-627c5c47baf7-2015-08-14_01-00-28-PM
COMPLIANCEON_A #0, , , , , , , , , , , , ,
COMPLIANCEON_A #1, , , , , , , , , , , , ,
COMPLIANCEON_A #2, , , , , , , , , , , , ,
COMPLIANCEON_A #3, , , , , , , , , , , , ,
COMPLIANCEON_A #4, , , , , , , , , , , , ,
COMPLIANCEON_A #5, , , , , , , , , , , , ,
COMPLIANCEON_B #0, , , , , , , , , , , , ,
COMPLIANCEON_B #1, , , , , , , , , , , , ,
COMPLIANCEON_B #2, , , , , , , , , , , , ,
COMPLIANCEON_B #3, , , , , , , , , , , , ,
COMPLIANCEON_B #4, , , , , , , , , , , , ,
COMPLIANCEON_B #5, , , , , , , , , , , , ,
IMPEDANCE_CG25_V10 #0,3571.42857142857, , , ,2891.15646258503,28231.2925170068,18537.4149659864,3231.2925170068,3061.22448979592,2380.95238095238, ,3911.56462585034,
IMPEDANCE_CG25_V10 #1,3401.36054421769,3571.42857142857,3061.22448979592,2721.08843537415,3061.22448979592,39625.8503401361,18390.8045977012,3065.13409961686,2894.84887186037,2213.7079608344,3575.98978288633,3746.27501064283,
IMPEDANCE_CG25_V10 #2,3397.02760084926,3397.02760084926,3057.32484076433,2887.47346072187,2887.47346072187,42632.6963906582,18683.6518046709,3227.17622080679,2887.47346072187,2377.91932059448,3736.73036093418,3736.73036093418,
IMPEDANCE_CG25_V10 #3,3401.36054421769,3401.36054421769,3231.2925170068,2721.08843537415,2891.15646258503,44727.8911564626,18513.8004246285,3227.17622080679,3057.32484076433,2208.06794055202,3736.73036093418,3906.58174097665,
IMPEDANCE_CG25_V10 #4,3397.02760084926,3566.87898089172,3057.32484076433,2717.62208067941,2887.47346072187,44670.9129511677,18683.6518046709,3227.17622080679,3057.32484076433,2377.91932059448,3736.73036093418,3906.58174097665,
IMPEDANCE_CG25_V10 #5,3397.02760084926,3566.87898089172,3057.32484076433,2547.77070063694,2887.47346072187,45859.872611465,18707.4829931973,3231.2925170068,3061.22448979592,2380.95238095238,3741.49659863946,3741.49659863946,
IMPEDANCE_MP145_V10 #0,5952.38095238095,5952.38095238095,5102.04081632653,4761.90476190476,5102.04081632653,43367.3469387755,25817.4097664544,4755.83864118896,4755.83864118896, ,5605.09554140127,5605.09554140127,
IMPEDANCE_MP145_V10 #1,5952.38095238095,5952.38095238095,5102.04081632653,4761.90476190476,5102.04081632653, , ,4755.83864118896,4755.83864118896,3736.73036093418, ,5605.09554140127,
IMPEDANCE_MP145_V10 #2,5789.69774372073,5789.69774372073,4938.27160493827,4597.70114942529,4938.27160493827,43422.7330779055,26020.4081632653,4931.97278911565,4591.83673469388, ,5612.24489795918,5612.24489795918,
IMPEDANCE_MP145_V10 #3,5944.7983014862, , , ,5095.54140127389,43821.6560509554,25987.2611464968,4755.83864118896,4755.83864118896,3736.73036093418,5605.09554140127,5605.09554140127,
IMPEDANCE_MP145_V10 #4,5944.7983014862,5944.7983014862,5095.54140127389,4755.83864118896,5095.54140127389,42972.3991507431,26157.1125265393,4755.83864118896,4755.83864118896,3736.73036093418,5605.09554140127,5774.94692144374,
IMPEDANCE_MP145_V10 #5,5944.7983014862,5944.7983014862,5095.54140127389,4755.83864118896,5095.54140127389,42972.3991507431,26157.1125265393,4755.83864118896,4585.9872611465,3736.73036093418,5605.09554140127,5774.94692144374,
IMPEDANCE_MP25_V10 #0,3741.49659863946, ,3401.36054421769,2891.15646258503,3061.22448979592,49149.6598639456,18004.2462845011,3397.02760084926,3057.32484076433,2547.77070063694,3736.73036093418,3906.58174097665,
IMPEDANCE_MP25_V10 #1,3736.73036093418,3566.87898089172,3397.02760084926,2887.47346072187,3057.32484076433,27855.6263269639,18174.0976645435,3227.17622080679,3057.32484076433,2377.91932059448,3736.73036093418,3906.58174097665,
IMPEDANCE_MP25_V10 #2,3736.73036093418,3736.73036093418,3227.17622080679,3057.32484076433,3057.32484076433, ,18343.949044586,3227.17622080679,3057.32484076433,2547.77070063694,3736.73036093418,3906.58174097665,
IMPEDANCE_MP25_V10 #3, , ,3231.2925170068,2891.15646258503,3061.22448979592,28231.2925170068,18537.4149659864,3231.2925170068,3061.22448979592,2551.02040816327,3741.49659863946,3911.56462585034,
IMPEDANCE_MP25_V10 #4,3736.73036093418,3566.87898089172,3227.17622080679,2887.47346072187,3057.32484076433,28704.8832271762,18683.6518046709,3227.17622080679,3057.32484076433, ,3736.73036093418,3906.58174097665,
IMPEDANCE_MP25_V10 #5,3736.73036093418,3566.87898089172,3397.02760084926,2887.47346072187,3057.32484076433,28535.0318471338,18683.6518046709,3227.17622080679,3057.32484076433,2547.77070063694,3736.73036093418,3906.58174097665,
IMPEDANCE_MP25_V2 #0,5119.04761904762,5068.02721088435,4693.87755102041,4285.71428571429,4523.80952380952,13367.3469387755,13316.3481953291,4297.23991507431,3991.50743099788,3397.02760084926,4704.88322717622,4840.76433121019,
IMPEDANCE_MP25_V2 #1,5119.04761904762,5051.02040816327,4693.87755102041,4285.71428571429,4523.80952380952,13367.3469387755,13333.3333333333,4280.25477707006,4008.49256900212,3414.0127388535,4704.88322717622,4840.76433121019,
