Subject, 15_523_KYE
Bluetooth Addr, 84EB1877B26F
Timestamp, 15/02/2016 3:37:00 PM
Sequence GUID, 0e81180e-a80d-4168-9b9b-b36615b6e07a
Record Directory, C:\Documents and Settings\All Users\Desktop\Active Chronics V2.3\Nimble Logs\Measurements\15_523_KYE-84EB1877B26F-0e81180e-a80d-4168-9b9b-b36615b6e07a-2016-02-15_03-37-00-PM
IMPEDANCE_CG25_V10_AONLY #0,4284.49014567266, , , ,5141.3881748072,5655.52699228792,77463.5818337618,7197.94344473008,6512.42502142245,5141.3881748072,5312.7677806341,74378.7489288775,7883.4618680377,5826.90659811482,4970.00856898029,6512.42502142245,108654.670094259,5141.3881748072,5826.90659811482,856.898029134533,106940.87403599,4798.62896315338, , , , , , , , , , , , , , , , , , , , , , ,
IMPEDANCE_CG25_V10_AONLY #1,4284.49014567266,6341.04541559554,99914.3101970866,5826.90659811482,4970.00856898029,5655.52699228792,77634.9614395887,7197.94344473008,6683.80462724936,5141.3881748072,5312.7677806341, ,7712.0822622108,5655.52699228792,4970.00856898029, ,108654.670094259,5141.3881748072,5826.90659811482,685.518423307626,106940.87403599,4798.62896315338, , , , , , , , , , , , , , , , , , , , , , ,
IMPEDANCE_CG25_V10_AONLY #2,4290.00429000429,6349.20634920635,100386.1003861,5662.80566280566,5148.00514800515,5662.80566280566,78249.6782496783,7207.20720720721,6520.80652080652,4976.40497640498,5319.60531960532,75160.8751608752,7893.60789360789,5662.80566280566,4976.40497640498,6349.20634920635,108966.108966109,5148.00514800515,5834.40583440583,686.400686400686,107078.507078507,4804.8048048048, , , , , , , , , , , , , , , , , , , , , , ,
IMPEDANCE_CG25_V10_AONLY #3,4284.49014567266, , , ,5141.3881748072,5826.90659811482,77977.7206512425,7197.94344473008,6512.42502142245,5141.3881748072,5312.7677806341,74892.8877463582,7712.0822622108,5655.52699228792,4970.00856898029,6341.04541559554,108654.670094259,5141.3881748072,5826.90659811482,685.518423307626,106940.87403599,4798.62896315338, , , , , , , , , , , , , , , , , , , , , , ,
IMPEDANCE_CG25_V10_AONLY #4,4284.49014567266, , , ,5141.3881748072,5655.52699228792,78149.1002570694,7197.94344473008,6512.42502142245,5141.3881748072,5312.7677806341,74721.5081405313,7883.4618680377,5655.52699228792,4970.00856898029,6341.04541559554,108654.670094259,5141.3881748072,5826.90659811482,685.518423307626,106940.87403599,4798.62896315338, , , , , , , , , , , , , , , , , , , , , , ,
IMPEDANCE_CG25_V10_AONLY #5, , ,99571.5509854327,5826.90659811482,5141.3881748072,5826.90659811482,78149.1002570694,7197.94344473008,6512.42502142245,5141.3881748072,5484.14738646101,74721.5081405313,7883.4618680377,5826.90659811482, ,6512.42502142245,108654.670094259,5141.3881748072,5826.90659811482,856.898029134533,106940.87403599,4970.00856898029, , , , , , , , , , , , , , , , , , , , , , ,
IMPEDANCE_CG25_V10_BONLY #0, , , , , , , , , , , , , , , , , , , , , , ,4278.99015832263,7359.86307231493,4450.14976465554,3594.35173299101,4107.83055198973,5477.10740265297,5134.78818998716,3080.8729139923,6161.7458279846,3765.51133932392,115019.255455712,6161.7458279846,5305.94779632007,6161.7458279846,112965.340179718,75139.0671801455, ,0,0,684.638425331622,112109.542148053,111938.38254172,
IMPEDANCE_CG25_V10_BONLY #1, , , , , , , , , , , , , , , , , , , , , , ,4278.99015832263,7359.86307231493,4621.30937098845,3594.35173299101,4278.99015832263,5648.26700898588,5305.94779632007,3080.8729139923,6161.7458279846,3936.67094565683,115019.255455712,6161.7458279846,5305.94779632007,12836.9704749679,112965.340179718,75652.5459991442,58365.4257595208,0,0,1026.95763799743,112109.542148053,111938.38254172,
IMPEDANCE_CG25_V10_BONLY #2, , , , , , , , , , , , , , , , , , , , , , ,4102.5641025641, ,4444.44444444444,3589.74358974359,4102.5641025641,5470.08547008547,5128.20512820513,3076.92307692308,6153.84615384615,3931.62393162393,114871.794871795,6153.84615384615,5299.1452991453,6837.60683760684,112991.452991453,75555.5555555555,59145.2991452991, ,170.940170940171,683.760683760684,111965.811965812, ,
IMPEDANCE_CG25_V10_BONLY #3, , , , , , , , , , , , , , , , , , , , , , ,4107.83055198973, ,4621.30937098845,3594.35173299101,4107.83055198973,5477.10740265297,5134.78818998716,3080.8729139923,6161.7458279846,3936.67094565683,115019.255455712,6161.7458279846,5305.94779632007,7873.34189131365,112965.340179718,75652.5459991442,59392.3833975182,0,0,684.638425331622, ,111767.222935387,
IMPEDANCE_CG25_V10_BONLY #4, , , , , , , , , , , , , , , , , , , , , , ,4278.99015832263,7188.70346598203,4450.14976465554,3594.35173299101,4107.83055198973,5477.10740265297,5134.78818998716,3080.8729139923,6161.7458279846,3765.51133932392,115019.255455712, ,5305.94779632007,6332.9054343175,112965.340179718,75652.5459991442,59392.3833975182,0,171.159606332905,684.638425331622,112109.542148053,111938.38254172,
IMPEDANCE_CG25_V10_BONLY #5, , , , , , , , , , , , , , , , , , , , , , ,4107.83055198973,7359.86307231493,4450.14976465554,3594.35173299101,4107.83055198973,5477.10740265297,5134.78818998716,3080.8729139923,6161.7458279846,3765.51133932392,115019.255455712,6161.7458279846,5305.94779632007,6332.9054343175,112965.340179718,75652.5459991442,59563.5430038511,0,0,684.638425331622,112109.542148053,111938.38254172,
IMPEDANCE_COMPLIANCE_AONLY #0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
IMPEDANCE_COMPLIANCE_AONLY #1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
